name,comment,time,image
,,,
Raju Bhai,grap bodoh...grap mahal depends to time...v teksi same rate even heavy traffic jam.. grap bodoh...grap mahal depends to time...v teksi same rate even heavy traffic jam.. grap bodoh... grap mahal depends to time... v teksi same rate even heavy traffic jam.. 2 2  2 · Like · ·,1527510353,
Grab,"Author  Hi Raju, our fare is a calculation based on a real time algorithm. If there is an imbalance of demand and supply of GrabCar rides in your area at that point of time, the fare will reflect as such. It can also be due to a change to the traffic conditi…See more Hi Raju, our fare is a calculation based on a real time algorithm. If there is an imbalance of demand and supply of GrabCar rides in your area at that point of time, the fare will reflect as such. It can also be due to a change to the traffic conditi…See more Hi Raju, our fare is a calculation based on a real time algorithm. If there is an imbalance of demand and supply of GrabCar rides in your area at that point of time, the fare will reflect as such. It can also be due to a change to the traffic conditi Hi Raju, our fare is a calculation based on a real time algorithm. If there is an imbalance of demand and supply of GrabCar rides in your area at that point of time, the fare will reflect as such. It can also be due to a change to the traffic conditi … · Like · ·",1527517701,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Miki Teng,Sape suruh kau pakai grab car? Kan grab teksi ada? Sape suruh kau pakai grab car? Kan grab teksi ada? Sape suruh kau pakai grab car? Kan grab teksi ada? · Like · ·,1527672045,
,,,
S Shirley Pei Hua,Worst service ever. Please hire quality driver than someone simply cancel the booking after i waited so long Worst service ever. Please hire quality driver than someone simply cancel the booking after i waited so long Worst service ever. Please hire quality driver than someone simply cancel the booking after i waited so long 1 1  1 · Like · ·,1527502953,
S Shirley Pei Hua,The problems is there are no option to call as well. The problems is there are no option to call as well. The problems is there are no option to call as well. · Like · ·,1527631536,
Miki Teng,Then is better for you to use grab taxi.  They are professional. Then is better for you to use grab taxi.  They are professional. Then is better for you to use grab taxi.  They are professional. · Like · ·,1527671922,
S Shirley Pei Hua,Hi Miki Teng. I can see ur comments in most of the post. Just wondering are you the person in charge? Hi Miki Teng. I can see ur comments in most of the post. Just wondering are you the person in charge? Hi Miki Teng. I can see ur comments in most of the post. Just wondering are you the person in charge? · Like · ·,1527672104,
Mustakim Khan Tushar,"Grab is now think they are only one provide service thats why they dosen't care about the rider. I used my credit pay but driver forced to pay cash, i paid cash and complain grab about incident but grab dosen't take any actions or reply my complain. What a great service...🖕🖕🖕 Grab is now think they are only one provide service thats why they dosen't care about the rider. I used my credit pay but driver forced to pay cash, i paid cash and complain grab about incident but grab dosen't take any actions or reply my complain. What a great service...🖕🖕🖕 Grab is now think they are only one provide service thats why they dosen't care about the rider. I used my credit pay but driver forced to pay cash, i paid cash and complain grab about incident but grab dosen't take any actions or reply my complain. What a great service...🖕🖕🖕 🖕 🖕 🖕 🖕 🖕 🖕 · Like · ·",1529203307,
